ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,147.95 kWh,21593,0.00805%,147.95,21593,0.00805,1
20110303_lr_RL_1.2,144.78 kWh,19749,0.00773%,144.78,19749,0.00773,2
20110303_lr_RL_1.2,144.45 kWh,19276,0.00757%,144.45,19276,0.00757,3
20110303_lr_RL_1.2,143.58 kWh,18718,0.00757%,143.58,18718,0.00757,4
20110303_lr_RL_1.2,143.33 kWh,17878,0.00739%,143.33,17878,0.00739,5
20110303_lr_RL_1.2,142.59 kWh,17403,0.00710%,142.59,17403,0.0071,6
20110303_lr_RL_1.2,142.87 kWh,17738,0.00737%,142.87,17738,0.00737,7
20110303_lr_RL_1.2,143.69 kWh,18039,0.00765%,143.69,18039,0.00765,8
20110303_lr_RL_1.2,142.31 kWh,17511,0.00720%,142.31,17511,0.0072,9
20110303_lr_RL_1.2,142.34 kWh,17354,0.00734%,142.34,17354,0.00734,10
20110303_lr_RL_1.2,143.04 kWh,18066,0.00742%,143.04,18066,0.00742,11
20110303_lr_RL_1.2,142.09 kWh,17056,0.00721%,142.09,17056,0.00721,12
20110303_lr_RL_1.2,142.66 kWh,17715,0.00741%,142.66,17715,0.00741,13
20110303_lr_RL_1.2,141.85 kWh,17189,0.00730%,141.85,17189,0.0073,14
20110303_lr_RL_1.2,142.26 kWh,17175,0.00724%,142.26,17175,0.00724,15
20110303_lr_RL_1.2,141.96 kWh,16854,0.00703%,141.96,16854,0.00703,16
20110303_lr_RL_1.2,141.70 kWh,16874,0.00703%,141.7,16874,0.00703,17
20110303_lr_RL_1.2,142.26 kWh,16889,0.00713%,142.26,16889,0.00713,18
20110303_lr_RL_1.2,141.40 kWh,16564,0.00696%,141.4,16564,0.00696,19
20110303_lr_RL_1.2,141.46 kWh,16966,0.00717%,141.46,16966,0.00717,20
20110303_lr_RL_1.2,141.50 kWh,16648,0.00707%,141.5,16648,0.00707,21
20110303_lr_RL_1.2,141.06 kWh,16450,0.00699%,141.06,16450,0.00699,22
20110303_lr_RL_1.2,141.53 kWh,17025,0.00718%,141.53,17025,0.00718,23
20110303_lr_RL_1.2,141.05 kWh,16164,0.00695%,141.05,16164,0.00695,24
20110303_lr_RL_1.2,141.98 kWh,16648,0.00729%,141.98,16648,0.00729,25
20110303_lr_RL_1.2,141.46 kWh,16279,0.00686%,141.46,16279,0.00686,26
20110303_lr_RL_1.2,141.28 kWh,16016,0.00692%,141.28,16016,0.00692,27
20110303_lr_RL_1.2,141.58 kWh,16354,0.00711%,141.58,16354,0.00711,28
20110303_lr_RL_1.2,141.02 kWh,16526,0.00693%,141.02,16526,0.00693,29
20110303_lr_RL_1.2,141.05 kWh,16572,0.00703%,141.05,16572,0.00703,30
