ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,148.66 kWh,22192,0.00814%,148.66,22192,0.00814,1
20110303_lr_RL_1.2,146.06 kWh,20543,0.00796%,146.06,20543,0.00796,2
20110303_lr_RL_1.2,145.24 kWh,20374,0.00790%,145.24,20374,0.0079,3
20110303_lr_RL_1.2,144.92 kWh,19436,0.00760%,144.92,19436,0.0076,4
20110303_lr_RL_1.2,144.40 kWh,19086,0.00751%,144.4,19086,0.00751,5
20110303_lr_RL_1.2,144.32 kWh,19565,0.00766%,144.32,19565,0.00766,6
20110303_lr_RL_1.2,144.30 kWh,18790,0.00764%,144.3,18790,0.00764,7
20110303_lr_RL_1.2,143.66 kWh,18492,0.00730%,143.66,18492,0.0073,8
20110303_lr_RL_1.2,143.81 kWh,18959,0.00778%,143.81,18959,0.00778,9
20110303_lr_RL_1.2,143.91 kWh,18792,0.00757%,143.91,18792,0.00757,10
20110303_lr_RL_1.2,143.63 kWh,18808,0.00753%,143.63,18808,0.00753,11
20110303_lr_RL_1.2,143.20 kWh,18171,0.00749%,143.2,18171,0.00749,12
20110303_lr_RL_1.2,142.67 kWh,17745,0.00718%,142.67,17745,0.00718,13
20110303_lr_RL_1.2,142.64 kWh,17857,0.00724%,142.64,17857,0.00724,14
20110303_lr_RL_1.2,142.63 kWh,17774,0.00736%,142.63,17774,0.00736,15
20110303_lr_RL_1.2,142.73 kWh,18177,0.00748%,142.73,18177,0.00748,16
20110303_lr_RL_1.2,142.53 kWh,17087,0.00696%,142.53,17087,0.00696,17
20110303_lr_RL_1.2,142.54 kWh,17739,0.00738%,142.54,17739,0.00738,18
20110303_lr_RL_1.2,142.18 kWh,17531,0.00716%,142.18,17531,0.00716,19
20110303_lr_RL_1.2,142.35 kWh,17395,0.00720%,142.35,17395,0.0072,20
20110303_lr_RL_1.2,142.90 kWh,17849,0.00739%,142.9,17849,0.00739,21
20110303_lr_RL_1.2,141.83 kWh,17183,0.00698%,141.83,17183,0.00698,22
20110303_lr_RL_1.2,141.86 kWh,17230,0.00724%,141.86,17230,0.00724,23
20110303_lr_RL_1.2,142.20 kWh,17320,0.00730%,142.2,17320,0.0073,24
20110303_lr_RL_1.2,142.20 kWh,17352,0.00720%,142.2,17352,0.0072,25
20110303_lr_RL_1.2,142.11 kWh,17120,0.00720%,142.11,17120,0.0072,26
20110303_lr_RL_1.2,142.11 kWh,17427,0.00729%,142.11,17427,0.00729,27
20110303_lr_RL_1.2,141.68 kWh,17182,0.00707%,141.68,17182,0.00707,28
20110303_lr_RL_1.2,142.59 kWh,17602,0.00733%,142.59,17602,0.00733,29
20110303_lr_RL_1.2,141.86 kWh,16738,0.00707%,141.86,16738,0.00707,30
