ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,147.84 kWh,21227,0.00800%,147.84,21227,0.008,1
20110303_lr_RL_1.2,145.23 kWh,19319,0.00775%,145.23,19319,0.00775,2
20110303_lr_RL_1.2,144.39 kWh,19445,0.00766%,144.39,19445,0.00766,3
20110303_lr_RL_1.2,143.03 kWh,18567,0.00750%,143.03,18567,0.0075,4
20110303_lr_RL_1.2,143.68 kWh,18537,0.00751%,143.68,18537,0.00751,5
20110303_lr_RL_1.2,142.83 kWh,17833,0.00736%,142.83,17833,0.00736,6
20110303_lr_RL_1.2,142.57 kWh,17530,0.00734%,142.57,17530,0.00734,7
20110303_lr_RL_1.2,142.71 kWh,17902,0.00735%,142.71,17902,0.00735,8
20110303_lr_RL_1.2,142.64 kWh,17634,0.00740%,142.64,17634,0.0074,9
20110303_lr_RL_1.2,142.53 kWh,17445,0.00743%,142.53,17445,0.00743,10
20110303_lr_RL_1.2,142.49 kWh,18207,0.00757%,142.49,18207,0.00757,11
20110303_lr_RL_1.2,141.98 kWh,16974,0.00707%,141.98,16974,0.00707,12
20110303_lr_RL_1.2,141.66 kWh,16712,0.00686%,141.66,16712,0.00686,13
20110303_lr_RL_1.2,142.01 kWh,17240,0.00729%,142.01,17240,0.00729,14
20110303_lr_RL_1.2,142.08 kWh,17001,0.00715%,142.08,17001,0.00715,15
20110303_lr_RL_1.2,141.72 kWh,16926,0.00706%,141.72,16926,0.00706,16
20110303_lr_RL_1.2,141.22 kWh,16762,0.00699%,141.22,16762,0.00699,17
20110303_lr_RL_1.2,141.66 kWh,16651,0.00714%,141.66,16651,0.00714,18
20110303_lr_RL_1.2,141.73 kWh,16604,0.00699%,141.73,16604,0.00699,19
20110303_lr_RL_1.2,141.95 kWh,16861,0.00716%,141.95,16861,0.00716,20
20110303_lr_RL_1.2,141.51 kWh,16118,0.00699%,141.51,16118,0.00699,21
20110303_lr_RL_1.2,141.31 kWh,16518,0.00698%,141.31,16518,0.00698,22
20110303_lr_RL_1.2,141.25 kWh,16559,0.00694%,141.25,16559,0.00694,23
20110303_lr_RL_1.2,140.85 kWh,16230,0.00675%,140.85,16230,0.00675,24
20110303_lr_RL_1.2,141.69 kWh,16402,0.00701%,141.69,16402,0.00701,25
20110303_lr_RL_1.2,141.00 kWh,15826,0.00674%,141.0,15826,0.00674,26
20110303_lr_RL_1.2,141.25 kWh,16258,0.00698%,141.25,16258,0.00698,27
20110303_lr_RL_1.2,140.95 kWh,16146,0.00681%,140.95,16146,0.00681,28
20110303_lr_RL_1.2,141.08 kWh,16173,0.00686%,141.08,16173,0.00686,29
20110303_lr_RL_1.2,141.37 kWh,16175,0.00680%,141.37,16175,0.0068,30
