ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,145.46 kWh,19728,0.00765%,145.46,19728,0.00765,1
20110303_lr_RL_1.2,142.88 kWh,18021,0.00742%,142.88,18021,0.00742,2
20110303_lr_RL_1.2,142.74 kWh,17277,0.00733%,142.74,17277,0.00733,3
20110303_lr_RL_1.2,141.55 kWh,17017,0.00705%,141.55,17017,0.00705,4
20110303_lr_RL_1.2,141.23 kWh,16529,0.00696%,141.23,16529,0.00696,5
20110303_lr_RL_1.2,141.62 kWh,16048,0.00700%,141.62,16048,0.007,6
20110303_lr_RL_1.2,141.04 kWh,16123,0.00680%,141.04,16123,0.0068,7
20110303_lr_RL_1.2,141.09 kWh,16256,0.00700%,141.09,16256,0.007,8
20110303_lr_RL_1.2,141.35 kWh,16172,0.00709%,141.35,16172,0.00709,9
20110303_lr_RL_1.2,141.27 kWh,16271,0.00685%,141.27,16271,0.00685,10
20110303_lr_RL_1.2,140.70 kWh,15961,0.00681%,140.7,15961,0.00681,11
20110303_lr_RL_1.2,140.71 kWh,16195,0.00692%,140.71,16195,0.00692,12
20110303_lr_RL_1.2,140.37 kWh,15599,0.00676%,140.37,15599,0.00676,13
20110303_lr_RL_1.2,140.46 kWh,15237,0.00658%,140.46,15237,0.00658,14
20110303_lr_RL_1.2,140.72 kWh,15669,0.00685%,140.72,15669,0.00685,15
20110303_lr_RL_1.2,140.30 kWh,15579,0.00671%,140.3,15579,0.00671,16
20110303_lr_RL_1.2,140.35 kWh,15519,0.00666%,140.35,15519,0.00666,17
20110303_lr_RL_1.2,140.17 kWh,15650,0.00680%,140.17,15650,0.0068,18
20110303_lr_RL_1.2,140.32 kWh,15559,0.00679%,140.32,15559,0.00679,19
20110303_lr_RL_1.2,140.32 kWh,15505,0.00674%,140.32,15505,0.00674,20
20110303_lr_RL_1.2,140.52 kWh,15471,0.00675%,140.52,15471,0.00675,21
20110303_lr_RL_1.2,139.86 kWh,15188,0.00660%,139.86,15188,0.0066,22
20110303_lr_RL_1.2,140.39 kWh,15394,0.00681%,140.39,15394,0.00681,23
20110303_lr_RL_1.2,139.89 kWh,15059,0.00665%,139.89,15059,0.00665,24
20110303_lr_RL_1.2,140.15 kWh,15125,0.00669%,140.15,15125,0.00669,25
20110303_lr_RL_1.2,139.89 kWh,14980,0.00638%,139.89,14980,0.00638,26
20110303_lr_RL_1.2,140.19 kWh,15448,0.00671%,140.19,15448,0.00671,27
20110303_lr_RL_1.2,140.45 kWh,15995,0.00707%,140.45,15995,0.00707,28
20110303_lr_RL_1.2,139.97 kWh,15476,0.00675%,139.97,15476,0.00675,29
20110303_lr_RL_1.2,139.90 kWh,15447,0.00675%,139.9,15447,0.00675,30
