ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,145.15 kWh,18752,0.00751%,145.15,18752,0.00751,1
20110306_lr_RL_1.2,106.05 kWh,11693,0.00645%,106.05,11693,0.00645,2
20110309_lr_RL_1.2,118.84 kWh,13491,0.00773%,118.84,13491,0.00773,3
20110322_lr_RL_1.2,148.23 kWh,20478,0.00761%,148.23,20478,0.00761,4
20110325_lr_RL_1.2,127.48 kWh,15604,0.00729%,127.48,15604,0.00729,5
20110403_lr_RL_1.2,192.91 kWh,22948,0.00728%,192.91,22948,0.00728,6
20110409_lr_RL_1.2,152.33 kWh,18374,0.00683%,152.33,18374,0.00683,7
20110411_lr_RL_1.2,149.73 kWh,18632,0.00749%,149.73,18632,0.00749,8
20110412_lr_RL_1.2,129.47 kWh,15645,0.00733%,129.47,15645,0.00733,9
300_lr_RL_1.2,118.15 kWh,12808,0.00759%,118.15,12808,0.00759,10
301_lr_RL_1.2,152.22 kWh,18475,0.00699%,152.22,18475,0.00699,11
302_lr_RL_1.2,105.48 kWh,11406,0.00635%,105.48,11406,0.00635,12
303_lr_RL_1.2,105.50 kWh,11576,0.00628%,105.5,11576,0.00628,13
304_lr_RL_1.2,193.07 kWh,23314,0.00749%,193.07,23314,0.00749,14
305_lr_RL_1.2,192.91 kWh,23150,0.00722%,192.91,23150,0.00722,15
306_lr_RL_1.2,140.31 kWh,15700,0.00695%,140.31,15700,0.00695,16
307_lr_RL_1.2,104.97 kWh,10719,0.00591%,104.97,10719,0.00591,17
308_lr_RL_1.2,149.74 kWh,18725,0.00746%,149.74,18725,0.00746,18
309_lr_RL_1.2,152.11 kWh,18357,0.00686%,152.11,18357,0.00686,19
310_lr_RL_1.2,129.48 kWh,15404,0.00699%,129.48,15404,0.00699,20
311_lr_RL_1.2,126.74 kWh,15176,0.00701%,126.74,15176,0.00701,21
312_lr_RL_1.2,105.45 kWh,11031,0.00606%,105.45,11031,0.00606,22
313_lr_RL_1.2,149.04 kWh,18803,0.00748%,149.04,18803,0.00748,23
314_lr_RL_1.2,129.00 kWh,15304,0.00705%,129.0,15304,0.00705,24
315_lr_RL_1.2,149.09 kWh,18678,0.00751%,149.09,18678,0.00751,25
316_lr_RL_1.2,152.44 kWh,18364,0.00704%,152.44,18364,0.00704,26
317_lr_RL_1.2,191.93 kWh,22122,0.00698%,191.93,22122,0.00698,27
318_lr_RL_1.2,140.35 kWh,15980,0.00695%,140.35,15980,0.00695,28
319_lr_RL_1.2,192.85 kWh,22820,0.00719%,192.85,22820,0.00719,29
320_lr_RL_1.2,140.60 kWh,15439,0.00683%,140.6,15439,0.00683,30
321_lr_RL_1.2,105.43 kWh,11255,0.00623%,105.43,11255,0.00623,31
