ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,151.59 kWh,23414,0.00793%,151.59,23414,0.00793,1
20110306_lr_RL_1.2,114.57 kWh,17505,0.00760%,114.57,17505,0.0076,2
20110309_lr_RL_1.2,131.09 kWh,20393,0.00889%,131.09,20393,0.00889,3
20110322_lr_RL_1.2,164.12 kWh,27713,0.00770%,164.12,27713,0.0077,4
20110325_lr_RL_1.2,142.60 kWh,23324,0.00799%,142.6,23324,0.00799,5
20110403_lr_RL_1.2,215.72 kWh,35354,0.00772%,215.72,35354,0.00772,6
20110409_lr_RL_1.2,171.67 kWh,28573,0.00770%,171.67,28573,0.0077,7
20110411_lr_RL_1.2,169.65 kWh,28216,0.00787%,169.65,28216,0.00787,8
20110412_lr_RL_1.2,147.66 kWh,24374,0.00788%,147.66,24374,0.00788,9
300_lr_RL_1.2,135.08 kWh,21301,0.00907%,135.08,21301,0.00907,10
301_lr_RL_1.2,173.79 kWh,28689,0.00762%,173.79,28689,0.00762,11
302_lr_RL_1.2,118.88 kWh,18477,0.00757%,118.88,18477,0.00757,12
303_lr_RL_1.2,118.43 kWh,18647,0.00761%,118.43,18647,0.00761,13
304_lr_RL_1.2,218.32 kWh,35808,0.00763%,218.32,35808,0.00763,14
305_lr_RL_1.2,217.25 kWh,35951,0.00760%,217.25,35951,0.0076,15
306_lr_RL_1.2,159.12 kWh,25875,0.00795%,159.12,25875,0.00795,16
307_lr_RL_1.2,118.80 kWh,18739,0.00752%,118.8,18739,0.00752,17
308_lr_RL_1.2,170.96 kWh,27949,0.00756%,170.96,27949,0.00756,18
309_lr_RL_1.2,174.49 kWh,29003,0.00767%,174.49,29003,0.00767,19
310_lr_RL_1.2,148.49 kWh,24704,0.00798%,148.49,24704,0.00798,20
311_lr_RL_1.2,145.98 kWh,24487,0.00785%,145.98,24487,0.00785,21
312_lr_RL_1.2,120.01 kWh,19009,0.00772%,120.01,19009,0.00772,22
313_lr_RL_1.2,170.09 kWh,28210,0.00774%,170.09,28210,0.00774,23
314_lr_RL_1.2,149.72 kWh,25170,0.00795%,149.72,25170,0.00795,24
315_lr_RL_1.2,169.40 kWh,28057,0.00790%,169.4,28057,0.0079,25
316_lr_RL_1.2,173.40 kWh,28467,0.00767%,173.4,28467,0.00767,26
317_lr_RL_1.2,221.88 kWh,36374,0.00758%,221.88,36374,0.00758,27
318_lr_RL_1.2,159.33 kWh,25773,0.00760%,159.33,25773,0.0076,28
319_lr_RL_1.2,220.37 kWh,36075,0.00754%,220.37,36075,0.00754,29
320_lr_RL_1.2,161.12 kWh,25856,0.00756%,161.12,25856,0.00756,30
321_lr_RL_1.2,120.61 kWh,18734,0.00747%,120.61,18734,0.00747,31
