ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.52 kWh,15553,0.00687%,140.52,15553,0.00687,1
20110306_lr_RL_1.2,105.36 kWh,11084,0.00596%,105.36,11084,0.00596,2
20110309_lr_RL_1.2,118.15 kWh,13007,0.00755%,118.15,13007,0.00755,3
20110322_lr_RL_1.2,147.90 kWh,19822,0.00766%,147.9,19822,0.00766,4
20110325_lr_RL_1.2,127.36 kWh,15790,0.00744%,127.36,15790,0.00744,5
20110403_lr_RL_1.2,193.68 kWh,24166,0.00761%,193.68,24166,0.00761,6
20110409_lr_RL_1.2,152.73 kWh,19525,0.00730%,152.73,19525,0.0073,7
20110411_lr_RL_1.2,150.43 kWh,19872,0.00780%,150.43,19872,0.0078,8
20110412_lr_RL_1.2,129.46 kWh,15308,0.00716%,129.46,15308,0.00716,9
300_lr_RL_1.2,118.28 kWh,12871,0.00740%,118.28,12871,0.0074,10
301_lr_RL_1.2,152.10 kWh,18820,0.00702%,152.1,18820,0.00702,11
302_lr_RL_1.2,105.56 kWh,11474,0.00650%,105.56,11474,0.0065,12
303_lr_RL_1.2,105.97 kWh,11421,0.00632%,105.97,11421,0.00632,13
304_lr_RL_1.2,193.01 kWh,23218,0.00730%,193.01,23218,0.0073,14
305_lr_RL_1.2,192.86 kWh,22905,0.00721%,192.86,22905,0.00721,15
306_lr_RL_1.2,140.73 kWh,15727,0.00687%,140.73,15727,0.00687,16
307_lr_RL_1.2,105.21 kWh,10959,0.00598%,105.21,10959,0.00598,17
308_lr_RL_1.2,150.09 kWh,19135,0.00765%,150.09,19135,0.00765,18
309_lr_RL_1.2,152.86 kWh,19471,0.00718%,152.86,19471,0.00718,19
310_lr_RL_1.2,129.44 kWh,15439,0.00722%,129.44,15439,0.00722,20
311_lr_RL_1.2,127.03 kWh,14922,0.00683%,127.03,14922,0.00683,21
312_lr_RL_1.2,105.69 kWh,11435,0.00629%,105.69,11435,0.00629,22
313_lr_RL_1.2,149.79 kWh,18919,0.00756%,149.79,18919,0.00756,23
314_lr_RL_1.2,129.73 kWh,15806,0.00724%,129.73,15806,0.00724,24
315_lr_RL_1.2,149.12 kWh,18913,0.00740%,149.12,18913,0.0074,25
316_lr_RL_1.2,152.88 kWh,19780,0.00741%,152.88,19780,0.00741,26
317_lr_RL_1.2,193.03 kWh,23281,0.00725%,193.03,23281,0.00725,27
318_lr_RL_1.2,140.90 kWh,16029,0.00701%,140.9,16029,0.00701,28
319_lr_RL_1.2,192.43 kWh,22747,0.00712%,192.43,22747,0.00712,29
320_lr_RL_1.2,140.83 kWh,15927,0.00680%,140.83,15927,0.0068,30
321_lr_RL_1.2,105.61 kWh,11165,0.00613%,105.61,11165,0.00613,31
