ExperimentName,Energy(KWh)_str,Migrations_str,SLA(%)_str,Energy(KWh),Migrations,SLA(%),Days
20110303_lr_RL_1.2,140.14 kWh,15290,0.00652%,140.14,15290,0.00652,1
20110306_lr_RL_1.2,105.01 kWh,10876,0.00603%,105.01,10876,0.00603,2
20110309_lr_RL_1.2,117.64 kWh,12669,0.00742%,117.64,12669,0.00742,3
20110322_lr_RL_1.2,147.12 kWh,19045,0.00740%,147.12,19045,0.0074,4
20110325_lr_RL_1.2,127.08 kWh,15291,0.00708%,127.08,15291,0.00708,5
20110403_lr_RL_1.2,192.10 kWh,22588,0.00715%,192.1,22588,0.00715,6
20110409_lr_RL_1.2,151.51 kWh,18472,0.00689%,151.51,18472,0.00689,7
20110411_lr_RL_1.2,149.24 kWh,18229,0.00722%,149.24,18229,0.00722,8
20110412_lr_RL_1.2,128.70 kWh,14846,0.00694%,128.7,14846,0.00694,9
300_lr_RL_1.2,117.69 kWh,12943,0.00771%,117.69,12943,0.00771,10
301_lr_RL_1.2,151.64 kWh,17859,0.00668%,151.64,17859,0.00668,11
302_lr_RL_1.2,105.55 kWh,11085,0.00617%,105.55,11085,0.00617,12
303_lr_RL_1.2,105.02 kWh,10861,0.00597%,105.02,10861,0.00597,13
304_lr_RL_1.2,192.52 kWh,22820,0.00731%,192.52,22820,0.00731,14
305_lr_RL_1.2,192.18 kWh,22665,0.00715%,192.18,22665,0.00715,15
306_lr_RL_1.2,139.91 kWh,15007,0.00647%,139.91,15007,0.00647,16
307_lr_RL_1.2,105.15 kWh,10650,0.00598%,105.15,10650,0.00598,17
308_lr_RL_1.2,149.32 kWh,18967,0.00736%,149.32,18967,0.00736,18
309_lr_RL_1.2,152.02 kWh,18251,0.00678%,152.02,18251,0.00678,19
310_lr_RL_1.2,128.95 kWh,15336,0.00732%,128.95,15336,0.00732,20
311_lr_RL_1.2,126.84 kWh,14849,0.00697%,126.84,14849,0.00697,21
312_lr_RL_1.2,104.95 kWh,10448,0.00566%,104.95,10448,0.00566,22
313_lr_RL_1.2,148.94 kWh,18477,0.00722%,148.94,18477,0.00722,23
314_lr_RL_1.2,128.74 kWh,15098,0.00707%,128.74,15098,0.00707,24
315_lr_RL_1.2,149.15 kWh,18733,0.00720%,149.15,18733,0.0072,25
316_lr_RL_1.2,152.04 kWh,18245,0.00692%,152.04,18245,0.00692,26
317_lr_RL_1.2,192.20 kWh,22703,0.00729%,192.2,22703,0.00729,27
318_lr_RL_1.2,139.77 kWh,15256,0.00652%,139.77,15256,0.00652,28
319_lr_RL_1.2,192.13 kWh,22182,0.00704%,192.13,22182,0.00704,29
320_lr_RL_1.2,140.73 kWh,15684,0.00697%,140.73,15684,0.00697,30
321_lr_RL_1.2,105.38 kWh,11191,0.00627%,105.38,11191,0.00627,31
