Algorithm,policy,alpha,gamma,energy_min,energy_max,energy_avg,energy_stdev,migrations_min,migrations_max,migrations_avg,migrations_stdev,SLA_min,SLA_max,SLA_avg,SLA_stdev
Qlearning,epsilon,0.2,0.2,106.08,195.37,142.91258064516126,28.250407308891663,11621,25257,17844.612903225807,4181.0711121866,0.00634,0.00833,0.007280000000000002,0.0005187420682124533
Qlearning,epsilon,0.2,0.4,106.1,194.88,142.81709677419354,28.328676895041458,11405,25706,18011.90322580645,4338.108430755188,0.00608,0.00823,0.007281935483870967,0.0005490441351709272
Qlearning,epsilon,0.2,0.6,106.43,196.67,143.80451612903227,28.685999818576967,12416,28034,19324.032258064515,4818.561123294457,0.00648,0.00845,0.00745225806451613,0.0005032740120280359
Qlearning,epsilon,0.2,0.8,108.54,201.29,146.58258064516127,29.364513159905773,14328,30728,21390.129032258064,5182.05216583762,0.007,0.00859,0.007802580645161291,0.00037066577705470726
Qlearning,epsilon,0.2,0.9,109.74,207.0,150.1432258064516,30.087923201521324,15313,32956,23215.709677419356,5372.400948015381,0.00732,0.00921,0.008073870967741936,0.00039463635091355393
Qlearning,epsilon,0.2,1.0,124.37,234.35,169.45354838709676,34.27350206290443,19960,38360,27733.516129032258,5739.116249452627,0.00661,0.00854,0.007083225806451614,0.00042675041180823085
Qlearning,epsilon,0.4,0.2,105.23,193.58,142.2167741935484,28.09145948351524,10956,24226,17281.225806451614,4121.899058360336,0.00606,0.008,0.007160645161290323,0.0005213631842511255
Qlearning,epsilon,0.4,0.4,105.76,194.41,142.3193548387097,28.32223107213176,11496,24991,17672.032258064515,4276.283538181809,0.0061,0.00825,0.007149354838709678,0.0005694672099654257
Qlearning,epsilon,0.4,0.6,106.16,196.02,143.07516129032257,28.512966275125635,11997,26913,18555.483870967742,4602.158463670191,0.00633,0.00784,0.007255806451612904,0.00046632445209709517
Qlearning,epsilon,0.4,0.8,107.84,200.86,145.93064516129033,29.22686879516676,13869,30282,20984.032258064515,5176.39784331325,0.00684,0.00892,0.007812258064516128,0.0005200686472471326
Qlearning,epsilon,0.4,0.9,108.98,204.13,148.1448387096774,29.658684379786386,14690,31747,22339.8064516129,5262.272832274123,0.00728,0.00927,0.008121935483870968,0.0004429252710095968
Qlearning,epsilon,0.4,1.0,117.0,224.61,162.35419354838706,32.394754902009836,17845,37472,26555.516129032258,5640.788076566179,0.00731,0.00957,0.007738709677419355,0.00045189041396843027
Qlearning,epsilon,0.6,0.2,104.97,193.07,141.84032258064516,28.048989225266922,10719,23314,16781.387096774193,3876.772039359716,0.00591,0.00773,0.007030322580645161,0.00048366988653397144
Qlearning,epsilon,0.6,0.4,105.24,193.56,142.0406451612903,28.23623770210707,10705,24347,17326.129032258064,4246.18033642736,0.00578,0.00818,0.007103548387096774,0.0005361066335913455
Qlearning,epsilon,0.6,0.6,106.04,195.19,142.79387096774195,28.359312248056998,11967,25873,18177.967741935485,4324.7842372683435,0.00622,0.00821,0.0072616129032258055,0.0004911421842616356
Qlearning,epsilon,0.6,0.8,106.37,197.71,144.43806451612906,28.924499583035697,12012,28604,19713.935483870966,4897.977827195517,0.00607,0.00839,0.0075551612903225806,0.0005470458296934053
Qlearning,epsilon,0.6,0.9,108.36,202.3,146.91064516129035,29.380082134612202,13740,31325,21399.548387096773,5145.062978809296,0.00695,0.00893,0.007909677419354838,0.0004932374943234258
Qlearning,epsilon,0.6,1.0,116.95,226.17,163.34354838709677,33.066288729196394,18471,37127,26630.1935483871,5770.586338893444,0.00746,0.00929,0.007840967741935484,0.0003922869259331291
Qlearning,epsilon,0.8,0.2,105.0,192.89,141.6558064516129,27.9793567681834,10396,23011,16589.516129032258,3916.537976929521,0.00573,0.00798,0.006981290322580645,0.0005371451817121318
Qlearning,epsilon,0.8,0.4,104.93,193.27,141.89354838709676,28.09245183892963,10630,23994,17154.58064516129,4098.706948735528,0.00563,0.00805,0.007036451612903226,0.0005902346899728208
Qlearning,epsilon,0.8,0.6,105.88,194.33,142.54193548387101,28.261815985454632,11881,25311,17852.870967741936,4279.672508825378,0.00632,0.00804,0.007190645161290322,0.0004751135687662545
Qlearning,epsilon,0.8,0.8,106.25,197.36,144.08870967741936,28.61200083204429,12115,27759,19201.032258064515,4651.956222808285,0.00635,0.00853,0.007504516129032257,0.0005679016271014868
Qlearning,epsilon,0.8,0.9,106.95,199.76,145.5019354838709,28.93440759365394,12562,29911,20341.90322580645,5002.49384710492,0.00651,0.00893,0.007822903225806453,0.0005495707024480538
Qlearning,epsilon,0.8,1.0,114.44,222.28,161.25451612903223,32.715970701245155,17745,36642,26211.645161290322,5820.0607645647315,0.00798,0.00964,0.008332258064516132,0.0003491963122888457
Qlearning,epsilon,0.9,0.2,105.02,193.35,141.63935483870966,28.043525923759283,10994,23505,16693.612903225807,3913.7881110881085,0.006,0.00798,0.007046774193548387,0.0005361118483847326
Qlearning,epsilon,0.9,0.4,105.26,193.65,141.8467741935484,28.16086745670272,11035,24215,17025.483870967742,4110.79770742831,0.00592,0.00781,0.007054193548387097,0.0005274642116993872
Qlearning,epsilon,0.9,0.6,105.67,194.49,142.49387096774194,28.315039310987995,11444,25274,17810.451612903227,4315.125620718433,0.00614,0.00817,0.007190645161290323,0.00054054253908378
Qlearning,epsilon,0.9,0.8,106.07,195.95,143.71806451612903,28.48019831618158,12133,27011,18831.677419354837,4515.86629110515,0.00641,0.00845,0.007435161290322579,0.0005540569824349712
Qlearning,epsilon,0.9,0.9,107.0,198.01,144.63032258064516,28.751346459353975,12620,27936,19654.677419354837,4746.3111106563365,0.00658,0.00841,0.0076180645161290335,0.00048366255009623337
Qlearning,epsilon,0.9,1.0,111.92,223.57,161.02096774193546,32.826296405457086,16059,37419,25987.0,6017.836172578978,0.00767,0.00928,0.008249354838709677,0.0003255450351218294
Qlearning,epsilon,1.0,0.2,105.07,193.44,141.63387096774193,28.1679284148266,10817,23668,16630.74193548387,3962.9115304091088,0.00596,0.0078,0.007005161290322581,0.0005230479325883492
Qlearning,epsilon,1.0,0.4,104.93,193.06,141.79322580645166,28.119586221125513,10581,23409,16931.870967741936,3975.3719720460163,0.00584,0.00776,0.007008709677419356,0.0005182839757988786
Qlearning,epsilon,1.0,0.6,105.66,193.83,142.50451612903228,28.217691358284398,11360,24715,17688.967741935485,4145.286668686666,0.00607,0.0083,0.0071522580645161276,0.0005232571686237361
Qlearning,epsilon,1.0,0.8,106.18,195.97,143.78193548387094,28.544263453959225,11971,27206,19001.870967741936,4678.590989759883,0.00615,0.00827,0.007414838709677418,0.0004953172112747004
Qlearning,epsilon,1.0,0.9,106.71,198.19,144.59806451612903,28.803566610098226,12694,28824,19676.83870967742,4802.078786642122,0.00642,0.00855,0.007543548387096775,0.0005205673084055943
