Algorithm,policy,alpha,gamma,energy_min,energy_max,energy_avg,energy_stdev,migrations_min,migrations_max,migrations_avg,migrations_stdev,SLA_min,SLA_max,SLA_avg,SLA_stdev
Qlearning,epsilon,0.2,0.2,105.71,195.88,143.01000000000005,28.280602657416384,11190,25686,17993.451612903227,4223.154775273336,0.00604,0.00844,0.007293225806451612,0.0005438528422087122
Qlearning,epsilon,0.2,0.4,105.56,194.9,142.82741935483872,28.49760936964619,11364,25709,18101.09677419355,4482.340626315963,0.00601,0.0079,0.0072812903225806455,0.0005323328653858341
Qlearning,epsilon,0.2,0.6,106.85,196.35,143.9793548387097,28.620985533402337,12833,27410,19447.548387096773,4604.685836831213,0.00668,0.00837,0.007514516129032258,0.0004310285273596743
Qlearning,epsilon,0.2,0.8,108.38,201.71,146.72612903225806,29.34769379666477,14345,31158,21656.354838709678,5169.109630283776,0.00696,0.00845,0.007832903225806449,0.00034509122995122213
Qlearning,epsilon,0.2,0.9,111.22,209.21,151.5558064516129,30.28040772228731,16113,33863,23944.870967741936,5350.411895308843,0.00742,0.00912,0.007957741935483872,0.0003482404310953314
Qlearning,epsilon,0.2,1.0,120.88,230.86,166.72,33.71771987150575,19114,38219,27289.354838709678,5653.292748763839,0.00674,0.00865,0.007223870967741936,0.0004163226106387115
Qlearning,epsilon,0.4,0.2,105.31,194.77,142.46548387096774,28.214425723816024,11184,24923,17472.41935483871,4102.3072270304465,0.00604,0.00838,0.00718741935483871,0.0005165653733519471
Qlearning,epsilon,0.4,0.4,105.87,194.92,142.75935483870967,28.35540782466769,11633,25885,18079.354838709678,4397.345172930194,0.00629,0.00797,0.007237741935483872,0.0004785165248098847
Qlearning,epsilon,0.4,0.6,106.38,196.23,143.7561290322581,28.609191375898682,12432,27429,19277.064516129034,4682.142201567453,0.00652,0.00828,0.0074600000000000005,0.00047479820274863425
Qlearning,epsilon,0.4,0.8,108.12,199.44,145.88741935483873,29.05791893990827,13882,30234,20969.516129032258,5030.719205514375,0.00688,0.00847,0.007799032258064516,0.0004206055542406264
Qlearning,epsilon,0.4,0.9,108.73,205.05,148.46419354838704,29.592880762574588,14721,32600,22558.354838709678,5214.339833883653,0.00724,0.00944,0.00808258064516129,0.00046373101213192903
Qlearning,epsilon,0.4,1.0,116.46,224.61,162.5516129032258,32.37753162269315,18324,37341,26550.8064516129,5629.918723032952,0.00721,0.00902,0.007601612903225807,0.00038179485568555927
Qlearning,epsilon,0.6,0.2,105.13,193.46,142.19612903225806,28.12458434388194,10944,24071,17260.83870967742,4133.843805279974,0.00584,0.00812,0.007080322580645162,0.0005499786897142334
Qlearning,epsilon,0.6,0.4,105.61,194.48,142.66354838709677,28.385577153240703,11835,25513,18045.548387096773,4406.183668729736,0.00628,0.00805,0.007222258064516128,0.0005238110962132523
Qlearning,epsilon,0.6,0.6,106.47,195.75,143.36516129032256,28.544185499089853,12421,26899,18833.032258064515,4552.7004768882025,0.00628,0.00837,0.007338709677419354,0.0005157308208454217
Qlearning,epsilon,0.6,0.8,107.46,198.48,145.3293548387097,28.921801112134983,13482,29641,20566.387096774193,5013.112976168396,0.00679,0.0086,0.007748387096774193,0.0004975278670533176
Qlearning,epsilon,0.6,0.9,108.48,201.85,147.12225806451613,29.29113377908947,14218,31013,21666.0,5111.718954194046,0.00702,0.00918,0.007971935483870967,0.0004706054210966884
