Algorithm,policy,alpha,gamma,energy_min,energy_max,energy_avg,energy_stdev,migrations_min,migrations_max,migrations_avg,migrations_stdev,SLA_min,SLA_max,SLA_avg,SLA_stdev
Qlearning,epsilon,0.2,0.2,105.1,194.31,142.07612903225805,28.052087940997588,10870,24714,17123.322580645163,4017.330758825623,0.00602,0.00789,0.007148064516129032,0.0005342559895458275
Qlearning,epsilon,0.2,0.4,104.98,193.37,141.38806451612902,28.02453965359108,10491,23604,16428.645161290322,3960.371881093888,0.00583,0.00765,0.006910322580645161,0.0005381913158655743
Qlearning,epsilon,0.2,0.6,105.0,192.81,141.38451612903225,27.979039397223733,10857,22979,16437.0,3790.1614125698306,0.00599,0.00768,0.00693483870967742,0.00045962209816139126
Qlearning,epsilon,0.2,0.8,105.14,193.15,141.46774193548387,28.068022220987523,10801,23241,16490.774193548386,3932.679686165464,0.00598,0.0077,0.0069503225806451605,0.0005160715962665629
Qlearning,epsilon,0.2,0.9,105.25,192.75,141.47548387096776,27.977286125082454,10806,22816,16504.967741935485,3828.892585625518,0.00599,0.00777,0.006970322580645162,0.0004628929600600103
Qlearning,epsilon,0.2,1.0,104.8,192.94,141.49935483870965,28.12180730743597,10705,23105,16573.548387096773,3957.8325199424467,0.00567,0.00789,0.006952580645161291,0.0005731257438639184
Qlearning,epsilon,0.4,0.2,104.85,192.59,141.3254838709678,27.994388942394593,10433,23092,16400.74193548387,3862.9301656276584,0.00584,0.00794,0.006935161290322582,0.0005528946311172495
Qlearning,epsilon,0.4,0.4,104.91,192.74,141.34645161290325,28.039461900256107,10579,22877,16419.74193548387,3906.452115562508,0.00575,0.00768,0.006924516129032258,0.000531926302600134
Qlearning,epsilon,0.4,0.6,104.67,192.82,141.4232258064516,28.16175318726881,10289,23207,16467.41935483871,4011.194126227197,0.00556,0.00811,0.006942580645161288,0.0006035062426737907
Qlearning,epsilon,0.4,0.8,104.98,192.81,141.4441935483871,28.01811006881008,10772,23317,16469.516129032258,3962.656473217327,0.00584,0.00779,0.006922258064516129,0.0005198186201450102
Qlearning,epsilon,0.4,0.9,104.92,192.91,141.49645161290323,28.106423411548597,10467,23343,16605.032258064515,4059.8085873094315,0.00562,0.00766,0.00693741935483871,0.000564405101216821
Qlearning,epsilon,0.4,1.0,105.28,193.18,141.61806451612907,28.113083480751435,11022,23647,16657.935483870966,3992.1605256258913,0.00604,0.00781,0.00699,0.0005109664046360256
